T04,International migrants and refugees,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
419,Latin America & the Caribbean,2015,International migrant stock: Both sexes (number),"9,109,959",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
419,Latin America & the Caribbean,2015,International migrant stock: Both sexes (% total population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
419,Latin America & the Caribbean,2015,International migrant stock: Male (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
419,Latin America & the Caribbean,2015,International migrant stock: Female (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
419,Latin America & the Caribbean,2015,Total refugees and people in refugee-like situations (number),"336,552",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
419,Latin America & the Caribbean,2015,"Asylum seekers, including pending cases (number)","37,378",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
419,Latin America & the Caribbean,2015,Other of concern to UNHCR (number),"6,697,290",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
419,Latin America & the Caribbean,2015,Total population of concern to UNHCR (number),"7,071,220",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
419,Latin America & the Caribbean,2019,Total refugees and people in refugee-like situations (number),"220,962",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
419,Latin America & the Caribbean,2019,"Asylum seekers, including pending cases (number)","759,306",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
419,Latin America & the Caribbean,2019,Other of concern to UNHCR (number),"12,450,136",Including Venezuelans displaced abroad.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
419,Latin America & the Caribbean,2019,Total population of concern to UNHCR (number),"13,430,404",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2025."
419,Latin America & the Caribbean,2024,International migrant stock: Both sexes (number),"17,510,527",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
419,Latin America & the Caribbean,2024,International migrant stock: Both sexes (% total population),2.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
419,Latin America & the Caribbean,2024,International migrant stock: Male (% total Population),2.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
419,Latin America & the Caribbean,2024,International migrant stock: Female (% total Population),2.6,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
29,Caribbean,2005,International migrant stock: Both sexes (number),"1,321,462",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
29,Caribbean,2005,International migrant stock: Both sexes (% total population),3.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
29,Caribbean,2005,International migrant stock: Male (% total Population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
29,Caribbean,2005,International migrant stock: Female (% total Population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
29,Caribbean,2010,International migrant stock: Both sexes (number),"1,338,511",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
29,Caribbean,2010,International migrant stock: Both sexes (% total population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
